fonte,titulo,tipo_arquivo,url_download,status_code,ativo,tamanho_kb,content_type,erro,verificado_em
ABDI,Demonstrações Contábeis - DRE - 3º Trimestre 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Demonstracoes_Contabeis_DRE_3_Trimestre_2024.CSV,200.0,True,11.9,application/octet-stream,,2026-07-21 09:47:27
ABDI,Demonstrações Contábeis - DRE - 2025 ,csv,https://transparencia.abdi.com.br/Documents/Dicionarios/Demonstracoes_Contabeis_DRE(in).csv,200.0,True,2.04,application/octet-stream,,2026-07-21 09:47:27
ABDI,Demonstrações Contábeis - DRE - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Demonstracoes_Contabeis_DRE_2024.CSV,200.0,True,7.79,application/octet-stream,,2026-07-21 09:47:27
ABDI,Demonstrações Contábeis - DRE - 1º Trimestre 2025 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Demonstracoes_Contabeis_DRE_1_Trimestre_2025.CSV,200.0,True,7.59,application/octet-stream,,2026-07-21 09:47:27
ABDI,Demonstrações Contábeis - DRE - 2023 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Demonstracoes_Contabeis_DRE_2023.CSV,200.0,True,3.16,application/octet-stream,,2026-07-21 09:47:27
ABDI,Demonstrações Contábeis - DRE - 2022 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Demonstracoes_Contabeis_DRE_2022.CSV,200.0,True,17.69,application/octet-stream,,2026-07-21 09:47:27
ABDI,Demonstrações Contábeis - DFC - 1º Trimestre 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Demonstracoes_Contabeis_DFC_1_Trimestre_2024.CSV,200.0,True,1.65,application/octet-stream,,2026-07-21 09:47:27
ABDI,Demonstrações Contábeis - DFC - 2º Trimestre 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Demonstracoes_Contabeis_DFC_2_Trimestre_2024.CSV,200.0,True,2.7,application/octet-stream,,2026-07-21 09:47:27
ABDI,Demonstrações Contábeis - DFC - 3º Trimestre 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Demonstracoes_Contabeis_DFC_3_Trimestre_2024.CSV,200.0,True,2.69,application/octet-stream,,2026-07-21 09:47:27
ABDI,Demonstrações Contábeis - DFC - 2025 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Demonstracoes_Contabeis_DFC%201(in).csv,200.0,True,1.55,application/octet-stream,,2026-07-21 09:47:27
